rank,artist,track,shazam_count_this_week,shazam_count_last_week,wow_growth_pct,genre
1,NXGHT,Hollow Chrome,48200,14100,241.8,Phonk
2,Cielo Bravo,Tierra de Noche,31400,9800,220.4,Regional Mexican
3,Vexora,Pulse Reactor,27100,9200,194.6,EDM
4,Lúa Canela,Corazón de Polvo,19800,7100,178.9,Musica Mexicana
5,Soleil Fade,Glass Hours,14200,5900,140.7,Pop
6,Dusty Mae,Barefoot on Asphalt,12800,5400,137.0,Country
7,Halo Crush,Fever Map,11400,5100,123.5,Pop
8,Lumen Drift,Glass Epoch,8300,4100,102.4,Ambient
9,Trace4000,Memphis Noir,22100,12800,72.7,Phonk
10,Dusty Mae,Tailgate Gospel,9700,5700,70.2,Country
